City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,100,100,3.0,RU,1683818831
131,ingeniero guillermo n. juarez,-23.9,-61.85,25.41,36,0,2.01,AR,1683819185
132,muisne,0.6,-80.0333,28.98,75,86,1.11,EC,1683819185
133,uturoa,-16.7333,-151.4333,27.06,79,100,8.57,PF,1683818868
134,sitka,57.0531,-135.33,10.94,58,75,5.14,US,1683818604
135,mateur,37.0405,9.6656,22.79,45,24,6.24,TN,1683819186
136,shaowu,27.3409,117.4831,17.07,96,100,1.21,CN,1683819186
137,taroa,8.7058,171.2275,27.68,80,76,6.98,MH,1683818820
138,puerto ayora,-0.7393,-90.3518,27.98,100,74,2.24,EC,1683818799
139,fukuecho,32.6881,128.8419,17.42,74,69,1.13,JP,1683818771
140,hastings,50.8552,0.5729,16.29,79,26,3.73,GB,1683819058
141,lata,40.1629,-8.3327,25.27,37,0,4.92,PT,1683818593
142,orangeville,43.9168,-80.0997,22.94,60,78,2.45,CA,1683819187
143,tame,6.461,-71.73,28.04,68,98,2.24,CO,1683819187
144,napier,-39.4833,176.9167,7.93,74,49,1.79,NZ,1683818796
145,grand falls-windsor,48.9332,-55.6649,12.5,38,13,3.58,CA,1683819188
146,malango,-2.9627,119.9001,20.59,99,100,0.99,ID,1683818875
147,bilibino,68.0546,166.4372,-3.74,94,96,0.33,RU,1683818775
148,itaugua,-25.3833,-57.3333,23.66,42,0,2.39,PY,1683819189
149,badger,64.8,-147.5333,8.17,64,75,0.0,US,1683818773
150,tete,-16.1564,33.5867,30.05,42,20,1.54,MZ,1683818879
151,qaqortoq,60.7167,-46.0333,2.83,85,100,1.89,GL,1683818830
152,tolanaro,-25.0319,46.9987,25.04,78,40,7.2,MG,1683818779
153,nizhniye sergi,56.6614,59.3033,7.4,80,61,2.81,RU,1683819190
154,brookings,44.3114,-96.7984,19.58,92,75,3.09,US,1683819159
155,araxa,-19.5933,-46.9406,23.98,73,20,1.03,BR,1683819190
156,avarua,-21.2078,-159.775,25.03,69,75,4.63,CK,1683818555
157,dunedin,-45.8742,170.5036,11.0,82,99,4.92,NZ,1683818739
158,queenstown,-31.8976,26.8753,21.69,22,26,2.9,ZA,1683818620
159,christchurch,-43.5333,172.6333,8.11,67,100,3.09,NZ,1683818524
160,trincomalee,8.5711,81.2335,28.27,78,100,9.0,LK,1683818843
161,flin flon,54.7682,-101.865,16.91,51,0,2.57,CA,1683818829
162,kavaratti,10.5669,72.642,29.6,71,65,2.02,IN,1683819191
163,phayuha khiri,15.4553,100.1353,32.83,51,83,0.24,TH,1683819191
164,belleville,44.1788,-77.3705,22.07,55,40,2.57,CA,1683818953
165,palembang,-2.9167,104.7458,27.05,94,40,0.0,ID,1683819192
166,isla mujeres,21.2311,-86.731,30.09,78,88,6.15,MX,1683819192
167,nemuro,43.3236,145.575,3.3,83,27,5.59,JP,1683818818
168,broome,42.2506,-75.833,21.37,47,0,2.24,US,1683818606
169,henderson,36.0397,-114.9819,23.37,26,0,1.54,US,1683818989
170,spas-demensk,54.4122,34.0226,13.38,65,52,1.72,RU,1683819193
171,tura,25.5198,90.2201,27.02,44,11,1.73,IN,1683818781
172,sombor,45.7742,19.1122,12.95,89,100,8.14,RS,1683819194
173,georgetown,5.4112,100.3354,31.97,80,20,1.54,MY,1683818770
174,stanley,54.868,-1.6985,14.74,73,20,3.6,GB,1683818785
175,revda,56.801,59.9303,9.1,67,79,2.93,RU,1683818775
